English words/sentences,French words/sentences
I don't think I can do this anymore.,Je ne pense pas arriver à faire encore ça.
You obviously don't have time.,Tu n'as à l'évidence pas le temps.
He acted without thinking.,Il a agi sans réfléchir.
She began doing her homework immediately after dinner.,Elle commença à faire ses devoirs immédiatement après déjeuner.
They want you dead.,Ils vous veulent morte.
We are responsible for your protection from now on.,Nous sommes désormais responsables de votre protection.
I can't tell you how many times I've been there.,Je ne peux pas te dire combien de fois je suis venu ici.
Are you lonely?,Te sens-tu seul ?
I want you to handle it.,Je veux que tu le traites.
The door doesn't lock.,La porte ne se ferme pas.
He will also go.,Il ira aussi.
You seem to be a busy man.,Vous semblez être un homme occupé.
Bring it here.,Apportez-le ici.
I knew it was a trick.,Je savais que c’était un piège.
She beckoned me into the room.,Elle me fit signe de venir dans la pièce.
It is useless to try to remember all the words in the dictionary.,Il est inutile d'essayer de se rappeler de tous les mots du dictionnaire.
He's buying an old hat.,Il achète un vieux chapeau.
Don't feel embarrassed. These things happen.,Ne te sens pas gêné. Ces choses arrivent.
My sister likes painting.,Ma sœur aime peindre.
This sentence has five words.,Cette phrase possède cinq mots.
I prefer traveling by train to flying.,Je préfère voyager en train que de voler.
Did you do your homework by yourself?,Avez-vous fait vos devoirs tout seul ?
I had a premonition that this would happen.,J'ai eu une prémonition que ça arriverait.
"If you're sleepy, you should take a nap.","Si vous avez sommeil, vous devriez faire une sieste."
You're nervous.,Vous êtes nerveuse.
I don't know why you're all so jumpy.,J'ignore pourquoi vous êtes toutes tellement agitées.
Do you want to eat out tonight?,"Veux-tu dîner dehors, ce soir ?"
I find you very attractive.,Je te trouve très attirant.
She can swim further than I can.,Elle peut nager plus loin que moi.
Diplomatic relations have not yet been established between Japan and North Korea.,Les relations diplomatiques entre le Japon et la Corée du Nord ne sont pas encore établies.
I'm not allowed to leave.,On ne m'autorise pas à partir.
I thought you were Tom's legal guardian.,Je pensais que tu étais le tuteur légal de Tom ?
Don't play games with me.,Ne jouez pas avec moi !
This house is haunted.,Cette maison est hantée.
I'll be honest.,Je serai honnête.
Do you have any advice for me?,As-tu quelques conseils pour moi ?
You shouldn't keep them waiting so long.,Tu ne devrais pas les garder à attendre aussi longtemps.
I thought I told you to trim your beard.,Je pensais t'avoir dit de tailler ta barbe.
There is an urgent need for them to update their system.,Il faut absolument qu'ils mettent à jour leur système.
They de-iced the bridge with salt.,Ils ont dé-verglacé le pont avec du sel.
Stay in the car.,Reste dans la voiture !
It is easy for me to answer the question.,C'est facile pour moi de répondre à cette question.
I didn't know who else to call.,Je ne savais pas qui d'autre appeler.
I'd like to speak with you.,J'aimerais te parler.
I know what happened to Tom.,Je sais ce qu'il est arrivé à Tom.
Help me.,Aidez-moi.
It has a flaw.,Ça comporte un défaut.
He agreed to give us an interview.,Il nous a accordé un entretien.
She's better at it than I am.,Elle est meilleure à ça que je ne le suis.
We were busy.,Nous étions occupées.
I'm tired from the long walk.,Je suis fatigué d'avoir beaucoup marché.
Tom had bags under his eyes after several sleepless nights.,Tom avait des cernes sous ses yeux après avoir passé plusieurs nuits blanches.
We sang for her.,Nous avons chanté pour elle.
I give my mother fifty thousand yen on payday every month.,Je donne cinquante mille yens à ma mère chaque mois le jour de ma paye.
Tom speaks French as well as Mary does.,Tom parle français aussi bien que Mary.
I find it hard to talk about myself.,Je trouve difficile de parler de moi.
She told him to rewrite his resume.,Elle lui dit de réécrire son curriculum vitae.
I want to get this done today.,Je veux que ce soit fait aujourd'hui.
Figure up how much it amounts to.,Calculez à combien ça se monte !
This road is too narrow for trucks to pass.,Cette route est trop étroite pour le passage des camions.
Say that you love me.,Dis que tu m'aimes.
Tom was a piano teacher.,Tom était professeur de piano.
I think this project is moving on the right track.,Je pense que ce projet est sur la bonne voie.
I borrow books from the city library.,J'emprunte des livres à la bibliothèque municipale.
My robot's name is Multi.,Le nom de mon robot est Multi.
Tom still doesn't understand.,Tom ne comprend toujours pas.
These objects are very useful.,Ces objets sont très utiles.
He forgot to lock the door.,Il a oublié de verrouiller la porte.
I don't know what to believe.,Je ne sais que croire.
The small boy slowly made some new friends.,Le petit garçon se fit lentement de nouveaux amis.
What's Tom's problem?,Quel est le problème de Tom ?
What do you usually do on Sundays?,Que fais-tu d'habitude le dimanche ?
You must come.,Vous devez venir.
I waited a whole year for that.,J'ai attendu toute une année pour que cela arrive.
He kept silent during the meeting.,Il garda le silence pendant la réunion.
I'm glad you invited me to your party.,Je suis contente que tu m'aies invitée à la fête.
It was only when I met him that I realized his true intention.,Ce fut seulement quand je le rencontrai que je réalisai ses véritables intentions.
Tom was the only one who was nice to me.,Tom était le seul qui était gentil envers moi.
I'll send it to you.,Je te l'enverrai.
It's hard to describe.,C'est difficile à décrire.
The police were able to verify Tom's alibi.,La police a pu vérifier l'alibi de Tom.
The soap hurt my eyes.,Le savon m'a piqué les yeux.
I'm very happy for the both of you.,Je suis très heureuse pour vous deux.
Please do something about it.,"Veuillez faire quelque chose à cela, je vous prie."
I thought we were best friends.,Je pensais que nous étions les meilleurs amis.
The rumor was not based on facts.,La rumeur ne reposait pas sur des faits.
That's really cute.,C'est vraiment mignon.
Cats usually hate dogs.,"En général, les chats détestent les chiens."
"All the essays, other than yours, were good.","Tous les essais, sauf le votre, étaient bons."
This shop is a rental video shop.,Ce magasin est un magasin de location de vidéo.
I asked Tom a favor.,J'ai demandé à Tom une faveur.
I sure am glad you weren't hurt.,Je me réjouis certainement que vous n'ayez pas été blessées.
I live at home with my parents.,Je vis avec mes parents.
Why are you telling me this now?,Pourquoi me dites-vous ceci maintenant ?
I have to deal with this alone.,Je dois gérer ceci tout seul.
It is difficult for foreign students to speak English well.,C'est difficile pour les étudiants étrangers de parler anglais correctement.
The house was burned to the ground.,La maison a été réduite en cendres.
The worst is over.,Le pire est passé.
Look at me and do what I do.,Regarde-moi et fais ce que je fais.
I have just what you need.,J'ai précisément ce qu'il vous faut.
I've said I'm sorry.,J'ai dit que j'étais désolé.
Everybody lies.,Tout le monde ment.
Talking to your plants doesn't help them grow faster.,Parler à vos plantes ne les aide pas à pousser plus vite.
I'm really tired tonight.,Je suis vraiment fatigué ce soir.
He keeps two cats.,Il a deux chats.
That really hurts.,Cela fait vraiment mal.
Was Tom asked to leave?,Est-ce qu'on a demandé à Tom de partir ?
I had no idea this bracelet was stolen.,Je n'avais pas idée que ce bracelet avait été volé.
Did you enjoy the film?,As-tu aimé le film ?
He stole a kiss from her.,Il lui a volé un baiser.
Who did you go there with?,Avec qui y es-tu allé ?
Tom feels better now.,Tom se sent mieux maintenant.
I'm sending you a birthday present by airmail.,Je t'envoie un cadeau d'anniversaire par le courrier aérien.
We're all in this together.,Nous sommes tous sur le même bateau.
He's what they call a walking encyclopedia.,Il est ce qu'on appelle « une encyclopédie sur pattes ».
I eat because I'm hungry.,Je mange parce que j'ai faim.
I have a wife.,J'ai une femme.
It was a mess.,C'était le bordel.
I'm not so good at tennis.,Je ne suis pas tellement bon en tennis.
I'd like you to see this.,J'aimerais que vous voyiez ceci.
"Tom is here, right?","Tom est ici, pas vrai ?"
"According to the thermometer, it's thirty degrees.","Selon le thermomètre, il fait trente degrés."
I love this band.,J'aime ce groupe.
She spent most of her senior year in high school strung out on drugs.,Elle a passé la majeure partie de sa dernière année au lycée accrochée à la drogue.
He tore the photographs into pieces.,Il a fait des photos des confettis.
You're very generous.,Tu es fort généreux.
What time's your flight?,À quelle heure est ton vol ?
It was very cold.,Elle était très froide.
You're so beautiful in that dress.,Vous êtes tellement belle dans cette robe !
I understand the problem.,Je comprends le problème.
Can you tell me what this symbol means?,Pouvez-vous me dire ce que ce symbole signifie ?
I plead ignorance.,Je plaide l'ignorance.
Why would you say that?,Pourquoi voudrais-tu dire cela ?
I forgot about that.,J'ai oublié ça.
What do you think that means?,Que pensez-vous que cela veuille dire ?
"You wanted this, didn't you?","Vous vouliez cela, n'est-ce pas ?"
That's not enough.,Ce n'est pas suffisant.
Don't do that.,Ne fais pas cela.
Can't you just leave me alone?,Ne pouvez-vous pas simplement me laisser tranquille ?
We must always be ready.,Nous devons toujours être prêtes.
I can't tell you how happy I am that you've come to visit us.,Je ne peux pas te dire combien je suis heureux que vous soyez venues nous rendre visite.
Don't worry about it.,Ne te fais pas de souci à ce sujet !
Let me introduce you to my wife.,Laisse-moi te présenter ma femme.
Tom taught me to sing.,Tom m'a appris à chanter.
Don't you ever say that again.,Ne répéte plus jamais ça !
Do you think there's something wrong with me?,Penses-tu que quelque chose n'aille pas avec moi ?
Don't you think it's time you left?,Ne penses-tu pas qu'il soit l'heure que tu partes ?
He promised to marry her.,Il promit de l'épouser.
I did that ages ago.,J'ai fait ça il y a des lustres.
I'm bilingual.,Je suis bilingue.
I just wanted to see what would happen.,Je voulais juste voir ce qui se passerait.
Most Japanese houses are built of wood.,La plupart des maisons japonaises sont faites en bois.
That's not something I want to do.,Ce n'est pas quelque chose que je veuille faire.
I don't want to grow up.,Je ne veux pas grandir.
Did you go straight home after school yesterday?,"Es-tu directement rentrée chez toi hier, après l'école ?"
That's an interesting idea.,C'est une idée intéressante.
I'm a married man now.,Je suis un homme marié maintenant.
I thought you were smart.,Je pensais que tu étais intelligent.
He lost both his parents at an early age.,Il perdit ses deux parents à un jeune âge.
That's the best thing that could happen to me.,C'est la meilleure chose qui pourrait m'arriver.
Where are you going to go?,Où allez-vous vous rendre ?
Carelessness often causes accidents.,L'imprudence cause souvent des accidents.
Are they tall?,Sont-elles grandes ?
This will save you a lot of trouble.,Ceci vous évitera beaucoup de problèmes.
I knew you wouldn't want to do that.,Je savais que tu ne voudrais pas faire ça.
I think what you just did is illegal.,Je pense que ce que tu viens de faire est illégal.
We're not living together.,Nous ne vivons pas ensemble.
I don't know if he will visit us next Sunday.,Je ne sais pas s'il nous rendra visite dimanche prochain.
I let Tom in the house.,J'ai laissé Tom dans la maison.
Power tends to corrupt and absolute power corrupts absolutely.,Le pouvoir tend à corrompre et le pouvoir absolu corrompt absolument.
What was it that he was looking for?,Que cherchait-il ?
I suppose you're hungry.,Je présume que vous avez faim.
She left France for America.,Elle quitta la France pour l'Amérique.
The baby screamed all night.,Le bébé a crié toute la nuit.
I was impressed with her work.,J'ai été impressionné par son travail.
I saw you snickering.,Je vous ai vus pouffer.
I remember reading about it.,Je me rappelle avoir lu à ce propos.
"To a man with a hammer, everything looks like a nail.","Pour un homme avec un marteau, tout ressemble à un clou."
Here's my chance.,Voilà ma chance.
I think you need to see him.,Je pense qu'il est nécessaire que tu le voies.
Don't resist us.,Ne nous résistez pas !
He likes this guitar.,Il aime cette guitare.
Read the label carefully.,Lis attentivement l'étiquette.
Do you understand what's going on?,Comprenez-vous ce qui est en train de se passer ?
I'll be at the hospital.,Je serai à l'hôpital.
What's in the fridge?,Qu'y a-t-il dans le frigo ?
I love jokes.,J'adore les plaisanteries.
I see why you don't want to go there.,Je vois pourquoi vous ne voulez pas y aller.
The guy who hit you is at the front door.,Le type qui t'a frappée est à la porte d'entrée.
That looks like it would be fun to do.,Ça paraît amusant à faire.
I suggest that you proceed very carefully.,Je suggère que tu procèdes très prudemment.
We made quite a team.,Nous formions une sacrée équipe.
The company announced hundreds of layoffs.,L'entreprise annonça des centaines de mises à pied.
Do you live in the city?,Résides-tu en ville ?
Do you want him to know about it?,Voulez-vous qu'il le sache ?
How many more are there?,Combien y en a-t-il de plus ?
The surgery was yesterday.,L'opération a eu lieu hier.
He arrived at midnight.,Il est arrivé à minuit.
The news made her happy.,Cette nouvelle la rendit heureuse.
No one cares about me.,Personne ne se soucie de moi.
"You aren't ready yet, are you?","Vous n'êtes pas encore prêts, n'est-ce pas ?"
I might be back before you leave.,Je serai peut-être rentré avant que tu ne partes.
Do you know who painted this?,Est-ce que tu sais qui a peint ça ?
There are no comments yet.,Il n'y a encore pas de commentaires.
It is neither good nor bad.,Ce n'est ni bon ni mauvais.
I'm happy you two are friends again.,Je suis heureux que toutes deux soyez à nouveau amies.
My grandma has gotten very old.,Ma mamie est devenue très vieille.
You're going to love this book.,Vous allez adorer ce livre.
Take the garbage out.,Sortez les ordures.
"We can continue playing, as long as we don't make too much noise.",Nous pouvons continuer à jouer pour autant que nous ne fassions pas trop de bruit.
He has a son and two daughters.,Il a un fils et deux filles.
She took off her coat.,Elle retira son manteau.
Tom mopped the kitchen floor.,Tom a serpillé le sol de la cuisine.
I can't afford to buy a car.,Je n'ai pas les moyens d'acheter une voiture.
There's going to be a downpour.,Il va dracher.
I will do whatever you ask.,Je ferai tout ce que tu demandes.
I'm not a pacifist.,Je ne suis pas pacifiste.
Bread and milk are good foods.,Le pain et le lait sont de la bonne nourriture.
There was nothing to drink.,Il n'y avait rien à boire.
I think we need to go back to Boston.,Je pense que nous devons retourner à Boston.
Many people were killed in the plane accident.,Beaucoup de gens ont été tués dans l'accident d'avion.
Tom ought to stop smoking.,Tom devrait arrêter de fumer.
Stay still.,Ne bouge pas.
My uncle died of cancer.,Mon oncle est mort d'un cancer.
"That's cheap, isn't it?","C'est bon marché, n'est-ce pas ?"
I see his house.,Je vois sa maison.
They did what they were told.,Ils ont fait ce qu'on leur avait dit.
Don't believe everything that you hear.,Ne croyez pas à tout ce que vous entendez.
Be careful!,Sois prudent !
Is it clean?,Est-ce propre ?
I volunteered.,Je me suis porté volontaire.
We loved you.,Nous vous aimions.
She could always call her parents when she was in a crunch.,"Elle pouvait toujours appeler ses parents, quand elle se trouvait dans une situation critique."
I am afraid I ate something bad.,Je crains d'avoir mangé quelque chose de mauvais.
Tom doesn't really want to go swimming with us.,Tom ne veut pas vraiment aller nager avec nous.
I don't know what that's all about.,J'ignore de quoi tout ceci retourne.
The Queen's crown was made of gold.,La couronne de la Reine était d'or.
I like your car.,J'aime ta voiture.
I got really mad.,Je me suis vraiment mis en colère.
How could you say that?,Comment pourriez-vous dire cela ?
I think it's time for me to buy my daughter a decent computer.,Je pense qu'il est temps que je fasse l'acquisition d'un ordinateur digne de ce nom pour ma fille.
I can't afford this one either.,Je ne peux pas me permettre celle-ci non plus.
He went out of his way to find the house for me.,Il s'est démené pour me trouver la maison.
That never should've happened.,Cela n'aurait jamais dû se passer.
We overslept.,Nous n'entendîmes pas le réveil.
I'll take you anywhere you want to go.,Je t'amènerai partout où tu veux aller.
He has a sweet voice.,Il a la voix douce.
I had second thoughts.,J'ai reconsidéré la question.
I will look it up in the dictionary.,Je le chercherai dans le dictionnaire.
He wanted it to be a surprise.,Il voulut que ce fut une surprise.
Mary looks like her mother.,Mary ressemble à sa mère.
You shouldn't be drinking on an empty stomach.,Tu ne devrais pas boire avec l'estomac vide.
He took over the business from his father.,Il a repris l'entreprise de son père.
Don't give in to peer pressure.,Ne cède pas à la pression des pairs.
I think they're lying.,Je pense qu'ils mentent.
Do you think Tom knows what happened?,Pensez-vous que Tom sait ce qu'il s'est passé ?
Are you from around here?,Es-tu des environs ?
We'll pick Tom up on the way.,Nous allons récupérer Tom en chemin.
I realized what was happening.,J'ai pris conscience de ce qui se passait.
Maybe it was just a coincidence.,Peut-être n'était-ce qu'une coïncidence.
I will accompany you.,Je t'accompagnerai.
I know the subject well.,Je connais bien le sujet.
There's no danger now.,Il n'y a plus de danger maintenant.
Do you have any idea who wrote this book?,As-tu la moindre idée de qui a écrit ce livre ?
Do you know how to use this?,Sais-tu comment utiliser ça ?
"Although I was sick, I did my best.","Même si j'étais malade, j'ai fait de mon mieux."
Tom told Mary that he didn't like her sense of humor.,Tom a dit à Marie qu'il n'aimait pas son sens de l'humour.
I feel the same way as you do.,J'éprouve la même chose que toi.
I think that she knows the truth.,Je pense qu'elle connaît la vérité.
You might be correct.,Il se pourrait que vous ayez raison.
This is way better.,C'est bien mieux.
This is getting weirder.,Ça devient de plus en plus étrange.
Do it again!,Refais-le !
Write in the date yourself.,Écrivez vous-même la date dessus.
I'm sure this is a misunderstanding.,Je suis certain que c'est un malentendu.
He let me go.,Il m'a laissé m'en aller.
Tom doesn't seem to be as particular as Mary seems to be.,Tom ne semble pas aussi particulier que Mary.
I let my friend copy my homework.,Je permets à ma copine de copier mes devoirs.
He's a nerd.,C'est un binoclard.
She lives two doors down.,Elle vit à deux portes en descendant.
Would you please turn on the TV?,Peux-tu me faire le plaisir d'allumer la télé ?
Can you give me a ride to the office on Wednesday?,Tu pourras me poser au bureau mercredi ?
You're good for nothing.,Tu es un bon à rien.
You must quit drinking.,Tu dois arrêter de boire.
You will need an armed escort.,Vous aurez besoin d'une escorte armée.
"You were hurt, weren't you?","Tu étais blessée, n'est-ce pas ?"
I didn't get the joke.,Je n'ai pas compris la blague.
Walk this way.,Par ici !
You were in danger.,Vous étiez en danger.
The chest contained gold coins.,Le coffre contenait des pièces d'or.
He was too shy to do that.,Il était trop timide pour faire ça.
I wasn't in love.,Je n'étais pas amoureux.
Take one of these.,Prends l'un de ceux-là !
Let's hope Tom doesn't do that.,Espérons que Tom ne fait pas ça.
I hope Tom is objective.,J'espère que Tom est objectif.
Tom has a difficult job.,Tom a un job compliqué.
We cannot rule out the possibility that civil war will break out in that country.,Nous ne pouvons pas écarter la possibilité qu'une guerre civile éclate dans ce pays.
What are you good at?,À quoi êtes-vous bons ?
I'll be back within two hours.,Je serai de retour dans deux heures.
Tom put the plate of sandwiches on the table in front of Mary.,Tom posa l'assiette de sandwiches sur la table devant Mary.
Are you sure you don't know Tom?,Es-tu sûr de ne pas connaître Tom ?
They found it.,Ils l'ont trouvé.
There's no mistake about it.,Il n'y pas de problème avec ça.
He shook his son by the shoulder.,Il a secoué son fils par les épaules.
I've had a busy week.,J'ai eu une semaine chargée.
My brother is out of work.,Mon frère est sans emploi.
"Hey, where did you two come from?","Eh, d'où êtes-vous venues, toutes les deux ?"
The meeting begins at three.,La conférence commence à trois heures.
She wrote me a long letter.,Elle m'a écrit une longue lettre.
I got caught in a rainstorm.,J'ai été pris dans une tempête de pluie.
Your request is denied.,Ta demande est refusée.
You can do it any way you like.,Tu peux le faire comme bon te semble.
I never want to see that guy again.,Je ne veux jamais revoir ce type.
Tom died in Mary's arms.,Tom est mort dans les bras de Mary.
The medicine didn't do me any good.,Ce médicament ne m'a été d'aucun secours.
Don't turn off the light.,N'éteins pas la lumière.
I'll go with you.,J'irai avec toi.
Are you a paleontologist?,Êtes-vous paléontologue ?
You are twice as strong as I am.,Vous êtes deux fois plus forte que moi.
They're small.,Ils sont petits.
He's out of position.,Il n'est pas à sa place.
I hope you're well rested.,J'espère que vous êtes bien reposé.
He studies contemporary literature.,Il étudie la littérature contemporaine.
Somebody has stolen my suitcase.,Quelqu'un a volé ma valise.
You must have women throwing themselves at you all the time.,Vous devez avoir des femmes qui se pendent à votre cou tout le temps.
I've decided to buy the blue car.,J'ai décidé d'acheter la voiture bleue.
I'm going to play tennis this evening.,Je vais jouer au tennis ce soir.
I'm busy on Monday.,Je suis occupé lundi.
Arabic is read from right to left.,L'arabe se lit de droite à gauche.
"Compared with yours, my car is small.","Comparée à ta voiture, la mienne est petite."
That'll be enough.,Ça sera suffisant.
Tom likes to climb the trees.,Tom aime grimper aux arbres.
I just took a shower.,Je viens de prendre une douche.
I really can't make any promises.,Je ne peux vraiment pas faire de quelconques promesses.
Their patience was about to give out.,Ils étaient sur le point de perdre patience.
How old is the oldest one?,Quel âge a l'aîné ?
You don't have to talk about it if you don't want to.,Vous n'êtes pas obligées d'en parler si vous ne voulez pas.
I didn't understand much of what they were talking about.,Je n'ai pas compris grand-chose à ce qu'ils étaient en train de discuter.
They talked about culture.,Ils parlèrent de culture.
You seem to be a busy man.,Tu sembles être un homme occupé.
I want to learn karate.,Je veux apprendre le karaté.
Did you tell your sister to ask me out?,As-tu dit à ta sœur de m'inviter ?
You have to stop worrying.,Tu dois arrêter de t'inquiéter.
Are you going to be OK?,Est-ce que ça va aller ?
I hope you'll agree.,J'espère que vous serez d'accord.
There are almost no books.,Il n'y a quasiment aucun livre.
This is the strangest thing I've ever done.,C'est la chose la plus étrange que j'ai jamais faite.
They sat in a circle.,Ils s'assirent en cercle.
What do you do when you're not at work?,Que faites-vous quand vous n'êtes pas au travail ?
Who's going to pay for that?,Qui va payer pour ça ?
We're done here.,"Nous en avons fini, ici."
I want to look like her.,Je veux paraître comme elle.
Do you really wanna talk about this now?,Voulez-vous vraiment parler de ceci maintenant ?
Be very careful.,Sois très prudente !
I will always be with you.,Je serai toujours avec vous.
Tom looks really relieved.,Tom semble vraiment soulagé.
Please wait for five minutes.,Veuillez attendre pendant cinq minutes.
Tom showed me Mary's picture.,Tom m'a montré la photo de Mary.
Why are you so tired?,Pourquoi êtes-vous si fatigués ?
The elevators in this building are often out of order.,Les ascenseurs de cet immeuble sont souvent en panne.
He will come tomorrow.,Il viendra demain.
The combination of these factors has led to an interesting result.,La combinaison de ces facteurs a conduit à un résultat intéressant.
I was still eating when the doorbell rang.,J'étais encore en train de manger lorsque la sonnette retentit.
I'm undressing.,Je me dévêts.
I'm sorry I yelled at you.,Je suis désolé de t'avoir hurlé dessus.
Can't you speak French?,Ne parlez-vous pas français ?
Tom is rather optimistic.,Tom est plutôt optimiste.
My sister is married.,Ma sœur est mariée.
Did you call me up last night?,Tu m'as appelé hier soir ?
I don't suppose anything will happen.,Je ne suppose pas que quelque chose aura lieu.
Are you up to the task?,Êtes-vous à la hauteur de la tâche ?
The train is made up of fifteen cars.,Le train se compose de quinze wagons.
I need a minute.,Il me faut une minute.
They waved flags to welcome the princess.,Elles agitèrent des drapeaux pour souhaiter la bienvenue à la princesse.
This ticket is valid for three days.,Ce ticket est valable trois jours.
Your birthday is coming soon.,Votre anniversaire arrive bientôt.
I'm sick of being sick.,J'en ai marre d'être malade.
I eat here every day.,Je mange ici tous les jours.
I know Tom is troubled.,Je sais que Tom est en détresse.
I'll do everything that I can.,Je ferai tout ce que je peux.
I've asked you not to do that.,Je vous ai demandé de ne pas faire cela.
You know I'm wrong.,Vous savez que j'ai tort.
Have you read Tom's book?,As-tu lu le livre de Tom ?
Look who's there.,Regarde qui est là.
I'm shocked.,Je suis choquée.
I'm not your son.,Je ne suis pas ton fils.
I strongly advise you to take this medicine right away.,Je vous conseille vivement de prendre ce médicament sans tarder.
I thought you were smart.,Je pensais que tu étais intelligente.
We're going to have to make some very tough choices.,Nous allons devoir faire des choix très difficiles.
How long has it been since you received a letter from him?,Combien de temps s'est-il écoulé depuis que tu as reçu une lettre de lui ?
You didn't have to do it.,Vous n'étiez pas obligée de le faire.
Take it easy!,Détendez-vous !
Did you enjoy the party yesterday?,T'es-tu amusée hier à la fête ?
He came to see me during my absence.,Il est venu me voir pendant mon absence.
I saw a stranger enter that house.,Je vis un étranger pénétrer dans cette maison.
Can you still remember when we first met?,Pouvez-vous encore vous souvenir de quand nous nous sommes rencontrées la première fois ?
"You don't know where it is, do you?","Tu ne sais pas où elle est, n'est-ce pas ?"
Do you believe in love at first sight?,Crois-tu au coup de foudre ?
I want to emphasize this point in particular.,Je veux insister sur ce point en particulier.
No one understands you.,Personne ne te comprend.
They are negotiating to reach a satisfactory compromise.,Elles sont en train de négocier pour arriver à un compromis satisfaisant.
The noise outside his window prevented him from sleeping.,Le bruit à l'extérieur l'a empêché de dormir.
He came into the room.,Il entra dans la chambre.
Let me congratulate you on your victory in the tournament.,Laissez-moi vous féliciter pour votre victoire dans ce tournoi.
He ran into debt.,Il s'est endetté.
Tom doesn't eat beef.,Tom ne mange pas de bœuf.
We have to stop.,Nous devons nous arrêter.
People like to talk.,Les gens aiment parler.
Ostriches are not known for having a good sense of humor.,Les autruches ne sont pas réputées pour leur bon sens de l'humour.
We had a spell of fine weather last autumn.,Nous avons eu de beaux jours l'automne dernier.
Where can I find toothpaste?,Où puis-je trouver du dentifrice ?
I'm sorry to upset your plans.,Je suis désolé de décevoir vos plans.
How are we going to get inside?,Comment allons-nous entrer ?
You should really lay off that. It'll ruin your health.,Tu devrais vraiment laisser tomber ça. Ça va ruiner ta santé.
A burnt child dreads the fire.,Chat échaudé craint l'eau froide.
He will advise you on that matter.,Il vous conseillera en cette affaire.
He is a very imaginative writer.,C'est un écrivain plein d'imagination.
Why must I suffer?,Pourquoi dois-je souffrir ?
It was a national scandal.,Ça a été un scandale national.
We discussed the problem far into the night.,Nous avons débattu de ce problème jusque tard dans la nuit.
Smoking harms your health.,Fumer détériore votre santé.
"Turn off the radio, please.",Éteins la radio s'il te plait.
He showed his disapproval by raising an eyebrow.,Il montra sa désapprobation en levant un sourcil.
You can come to visit us anytime you want.,Vous pouvez venir nous rendre visite à tout moment.
Don't make me use this gun.,Ne m'oblige pas à utiliser ce pistolet.
I feel kind of nauseous.,Je suis comme pris de nausée.
My mother died during my absence.,Ma mère est morte durant mon absence.
Suddenly it began to rain.,"Tout à coup, il se mit à pleuvoir."
Please pass me the jam.,Passez-moi la confiture.
I can't believe it's really you.,Je n'arrive pas à croire que ce soit vraiment vous.
Where did you learn to shoot?,Où avez-vous appris à tirer ?
Do you live near here?,Vivez-vous dans les environs ?
Tom waited for me.,Tom m'attendit.
There is nothing the matter with the motor.,Il n'y a pas de souci avec le moteur.
I don't require assistance.,Je ne requiers pas d'assistance.
I'll take care of you.,Je prendrai soin de toi.
She wrote to him to tell him that she couldn't come to visit next summer.,Elle lui a écrit pour lui annoncer qu'elle ne pourrait pas venir en visite l'été prochain.
She told him that she didn't love him.,Elle lui a annoncé qu'elle ne l'aimait pas.
"Which do you like better, meat or fish?","Entre la viande et le poisson, lequel préférez-vous ?"
How many letters does the Russian alphabet have?,Combien de lettres figurent dans l'alphabet russe ?
I saw a cottage in the distance.,Je vis un chalet au loin.
Maybe Tom can do it.,Peut-être que Tom peut le faire.
Please eat some cake.,"S'il te plaît, mange un peu de gâteau !"
He's attracted to black women.,Il est attiré par les femmes noires.
There's nothing for you here.,Il n'y a rien pour vous ici.
"When your stomach is busy, digesting a big meal your brain takes a vacation.","Lorsque votre estomac est occupé à digérer un lourd repas, votre cerveau est en vacances."
Everyone is waiting on you.,Tout le monde vous attend.
I hope Tom's predictions are wrong.,J'espère que les prédictions de Tom sont fausses.
Tom looked for his glasses.,Tom a cherché ses lunettes.
Is it helping?,Est-ce que ça aide ?
How do I get reimbursed?,Comment puis-je me faire rembourser ?
She never dreamed she'd meet him overseas.,Elle n'a jamais rêvé qu'elle le rencontrerait à l'étranger.
He might retaliate.,Il pourrait riposter.
I only stole a few coins.,J'ai seulement volé quelques pièces.
Why do I have to do this alone?,Pourquoi dois-je le faire seule ?
Tom poured himself a drink.,Tom se servit à boire.
No extremely fat man has ever attempted such a thing.,Aucun homme extrêmement gros n'a jamais tenté une telle chose.
We have another decision to make.,Nous avons une autre décision à prendre.
I often perform in nightclubs.,Je me produis souvent dans les boites de nuit.
What are you celebrating?,Qu'est-ce que tu fêtes ?
Some parts of this city are very ugly.,Certaines parties de cette ville sont vraiment très moches.
I don't think I can make it to your party.,Je ne pense pas que je puisse assister à ta fête.
You can't wear that.,Tu ne peux pas porter ça.
I don't know if this is true.,Je ne sais pas si ceci est vrai.
Don't you have a sense of justice?,N'avez-vous donc pas le sens de l'équité ?
She stood by him.,Elle se tenait à côté de lui.
You seem to be having fun.,Vous semblez vous amuser.
I really enjoy spending time with you.,J'ai vraiment plaisir à passer du temps avec toi.
I dislike her unfriendly attitude.,Je n'apprécie guère son comportement hostile.
Why are you leaving so soon?,Pourquoi pars-tu si tôt ?
I don't know whether it is true or not.,Je ne sais pas si c'est vrai ou non.
"Tom's a beginner, but he catches on fast.","Tom est débutant, mais il apprend vite."
He asked for some money.,Il demanda un peu d'argent.
We hurried to the airport only to miss the plane.,Nous nous précipitâmes à l'aéroport pour finalement manquer l'avion.
I'm looking for a gift for my wife.,Je cherche un cadeau à l'intention de ma femme.
I'll call you in a couple of days.,Je vous appellerai dans deux jours.
Thank you for helping me out.,Merci de m'aider.
